ST,Rape 15,Dowry Deaths 15,Assault on women with intent to outrage her modesty 15,Cruelty By Husband or his relatives 15,Insult to the modesty of women 15,Kidnapping and Abduction 15,Rape 16,Dowry Deaths 16,Assault on women with intent to outrage her modesty 16,Cruelty By Husband or his relatives 16,Insult to the modesty of women 16,Kidnapping and Abduction 16,Rape 17,Dowry Deaths 17,Assault on women with intent to outrage her modesty 17,Cruelty By Husband or his relatives 17,Insult to the modesty of women 17,Kidnapping and Abduction 17,Rape 18,Dowry Deaths 18,Assault on women with intent to outrage her modesty 18,Cruelty By Husband or his relatives 18,Insult to the modesty of women 18,Kidnapping and Abduction 18,Rape 19,Dowry Deaths 19,Assault on women with intent to outrage her modesty 19,Cruelty By Husband or his relatives 19,Insult to the modesty of women 19,Kidnapping and Abduction 19,Rape 20,Dowry Deaths 20,Assault on women with intent to outrage her modesty 20,Cruelty By Husband or his relatives 20,Insult to the modesty of women 20,Kidnapping and Abduction 20
Andhra Pradesh,1027,174,4616,6121,2200,684,994,193,4829,6461,1831,917,1163,152,5129,7156,1998,1018,1162,140,4445,6831,1802,695,1263,112,4444,7851,1892,589,1236,111,4886,6546,2342,534
Arunachal Pradesh,71,0,101,66,2,128,92,1,109,50,10,112,83,0,97,56,5,117,78,0,103,60,12,75,65,1,80,54,6,68,62,0,73,69,3,45
Assam,1733,216,4293,11225,111,5039,1779,157,3378,9321,34,6126,2150,171,3569,9782,108,7857,2175,173,4180,11136,171,2598,2173,156,4619,11943,385,6989,2142,148,4642,11408,90,5364
Bihar,1041,1154,198,3792,96,5158,1008,987,324,3794,167,7324,922,1081,197,3776,1,8479,761,1107,262,2539,30,1965,840,1120,312,2397,11,9025,875,1046,584,1935,6,6671
Chhattisgarh,1560,89,1868,620,53,1354,1626,84,1770,622,101,2071,1927,74,1899,582,144,2109,2118,79,1854,503,184,1924,1045,76,1316,732,232,2033,1328,71,1461,641,279,1341
Goa,86,0,150,19,34,70,61,2,143,23,32,106,76,1,134,21,31,86,61,0,125,9,26,76,72,1,119,9,37,52,60,0,67,8,35,31
Gujarat,503,12,1164,4133,73,1569,982,12,1224,3732,59,2784,491,9,1058,3223,17,2094,557,9,1208,2923,12,1053,529,9,1048,3619,16,922,489,6,846,3345,17,597
Haryana,1070,243,1886,3525,90,2336,1187,260,1860,3313,124,3932,1244,245,2031,3326,179,4401,1472,216,2671,4154,192,657,1674,248,2581,4867,173,2803,1588,251,2339,4119,183,2423
Himachal Pradesh,244,2,434,226,58,239,252,3,410,214,49,290,257,3,397,191,52,339,355,4,513,183,78,172,364,4,498,228,72,337,334,1,538,259,88,281
Jammu & Kashmir,296,6,1343,400,175,1071,256,6,1235,342,153,810,317,8,1417,377,41,995,343,8,1597,325,25,457,236,8,1440,347,15,893,253,9,1744,349,35,775
Jharkhand,1053,267,844,1654,10,930,1109,278,667,1002,13,1309,1082,248,748,998,104,1577,1341,252,1378,1032,37,472,1650,299,1646,1426,7,1008,1509,275,1358,857,6,993
Karnataka,589,254,5112,2732,154,1611,1655,234,5260,2556,160,2916,558,206,5763,2332,212,3005,502,200,5204,2053,138,2687,517,194,4937,2472,107,1056,515,176,4751,2055,70,923
Kerala,1256,8,3987,3668,267,192,1656,25,4029,3455,328,241,2060,12,4413,2856,421,293,2003,17,4544,2046,461,178,2074,8,4507,2970,435,227,696,6,3890,2707,442,151
Madhya Pradesh,4391,664,8049,5281,390,4547,4882,629,8717,6264,358,7123,5623,632,9252,6099,277,7807,5506,547,8790,4159,270,6725,2524,550,5585,5486,174,6091,2374,608,5378,5540,200,4782
Maharashtra,4144,268,11713,7640,1119,5096,4189,248,11396,7215,924,9333,1942,233,9392,6584,919,10324,2146,200,10835,6862,1074,10331,2303,196,10472,8430,1074,6906,2064,197,9965,6729,969,5254
Manipur,46,0,84,39,2,94,55,0,65,29,5,145,44,0,66,19,8,142,58,0,56,14,8,11,37,0,59,15,7,84,37,1,61,7,8,49
Meghalaya,93,1,95,44,20,58,190,0,68,26,17,156,139,1,88,20,21,148,109,1,95,18,16,76,118,3,96,23,18,71,86,1,86,17,16,29
