S No,ST,Rape 20,Dowry Deaths 20,Assault on women with intent to outrage her modesty 20,Cruelty By Husband or his relatives 20,Insult to the modesty of women 20,Kidnapping and Abduction 20
0,Andhra Pradesh,1236,111,4886,6546,2342,534
1,Arunachal Pradesh,62,0,73,69,3,45
2,Assam,2142,148,4642,11408,90,5364
3,Bihar,875,1046,584,1935,6,6671
4,Chhattisgarh,1328,71,1461,641,279,1341
5,Goa,60,0,67,8,35,31
6,Gujarat,489,6,846,3345,17,597
7,Haryana,1588,251,2339,4119,183,2423
8,Himachal Pradesh,334,1,538,259,88,281
9,Jammu & Kashmir,253,9,1744,349,35,775
10,Jharkhand,1509,275,1358,857,6,993
11,Karnataka,515,176,4751,2055,70,923
12,Kerala,696,6,3890,2707,442,151
13,Madhya Pradesh,2374,608,5378,5540,200,4782
14,Maharashtra,2064,197,9965,6729,969,5254
15,Manipur,37,1,61,7,8,49
16,Meghalaya,86,1,86,17,16,29
17,Mizoram,34,0,26,7,3,1
18,Nagaland,4,1,7,2,2,6
19,Odisha,1355,320,12605,3659,615,3775
20,Punjab,555,63,731,1271,28,1241
21,Rajasthan,6275,479,8661,13765,85,4739
22,Sikkim,13,0,18,1,0,11
23,Tamil Nadu,404,40,892,689,31,633
24,Telangana,799,158,4907,7453,565,1314
25,Tripura,92,23,115,356,3,110
26,Uttar Pradesh,3020,2274,9864,14454,28,9109
27,Uttarakhand,499,65,474,668,43,349
28,West Bengal,2000,522,2488,19962,446,7740
29,A & N Islands,3,0,15,2,3,1
30,Chandigarh,63,1,42,96,4,90
31,D&N Haveli and Daman & Diu,4,1,6,4,3,0
32,Delhi,1006,110,1840,2557,416,2938
33,Lakshadweep,3,0,3,0,1,0
34,Puducherry,8,2,25,9,0,0
